tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000912	short	The Indian Runner's Romance	The Indian Runner's Romance	0	1909	\N	11	Short,Western
tt0013001	short	The Cashier	The Cashier	0	1922	\N	\N	Animation,Comedy,Short
tt0016344	movie	Shirayuri wa nageku	Shirayuri wa nageku	0	1925	\N	\N	\N
tt0017504	movie	Unseen Enemies	Unseen Enemies	0	1925	\N	54	Western
tt0024996	movie	Coming Out Party	Coming Out Party	0	1934	\N	80	Drama
tt0029553	movie	The Sheik Steps Out	The Sheik Steps Out	0	1937	\N	65	Musical
tt0030476	short	Music Made Simple	Music Made Simple	0	1938	\N	8	Comedy,Short
tt0035860	movie	The Fallen Sparrow	The Fallen Sparrow	0	1943	\N	94	Film-Noir,Mystery
tt0037142	movie	Oath of Vengeance	Oath of Vengeance	0	1944	\N	57	Western
tt0037819	movie	L'ippocampo	L'ippocampo	0	1945	\N	70	\N
tt0038874	movie	Red River Renegades	Red River Renegades	0	1946	\N	53	Western
tt0042171	tvSeries	You Bet Your Life	You Bet Your Life	0	1950	1961	30	Comedy,Family,Game-Show
tt0043124	movie	West of Wyoming	West of Wyoming	0	1950	\N	57	Drama,Western
tt0043718	movie	Königin einer Nacht	Königin einer Nacht	0	1951	\N	95	Music,Romance
tt0047851	movie	Ball at the Savoy	Ball im Savoy	0	1955	\N	96	Comedy,Musical
tt0051822	movie	Klarar Bananen Biffen?	Klarar Bananen Biffen?	0	1957	\N	94	Comedy
tt0059883	movie	White Voices	Le voci bianche	0	1964	\N	93	Comedy
tt0060897	movie	Return of the Seven	Return of the Seven	0	1966	\N	95	Action,Drama,Western
tt0067065	movie	Escape from the Planet of the Apes	Escape from the Planet of the Apes	0	1971	\N	98	Action,Sci-Fi
tt0069752	movie	The Father	Baba	0	1971	\N	96	Crime,Drama
tt0075054	movie	Per amore	Per amore	0	1976	\N	100	Drama,Romance
tt0078765	movie	The American Success Company	The American Success Company	0	1979	\N	91	Comedy,Drama
tt0083464	tvSeries	The Phoenix	The Phoenix	0	1981	1982	60	Sci-Fi
tt0083829	movie	Diary of a Window	Diary of a Window	0	1982	\N	\N	\N
tt0084219	tvMovie	Die Komplizen	Die Komplizen	0	1985	\N	\N	Drama
tt0084769	tvEpisode	Kindergeld	Kindergeld	0	1982	\N	95	Crime,Drama,Mystery
tt0094045	movie	Storme: Lady of the Jewel Box	Storme: Lady of the Jewel Box	0	1987	\N	21	Documentary
tt0098516	movie	Trois pommes à côté du sommeil	Trois pommes à côté du sommeil	0	1989	\N	98	Drama
tt0098901	tvMiniSeries	S*M*A*S*H	S*M*A*S*H	0	1990	1990	\N	Comedy,Sport
tt0100152	movie	Mindwarp	Mindwarp	0	1991	\N	96	Horror,Sci-Fi,Thriller
tt0101806	tvMovie	Elsa	Elsa	0	1991	\N	105	Drama
tt0106802	movie	Der Elfenbeinturm	Der Elfenbeinturm	0	1993	\N	\N	Comedy
tt0108382	short	The Traveling Poet	The Traveling Poet	0	1993	\N	8	Short
tt0118989	tvMovie	The Ditchdigger's Daughters	The Ditchdigger's Daughters	0	1997	\N	92	Biography,Drama
tt0122147	movie	Zhi Mo Nu	Zhi Mo Nu	0	1969	\N	93	\N
tt0123134	tvMovie	Kismaszat és a Gézengúzok	Kismaszat és a Gézengúzok	0	1984	\N	74	Adventure,Comedy,Family
tt0128154	movie	Daybreak	Daybreak	0	2002	\N	87	Crime,Mystery,Thriller
tt0130658	short	En los montes de Toledo	En los montes de Toledo	0	1960	\N	10	Documentary,Short
tt0150825	short	Happy Circus Days	Happy Circus Days	0	1942	\N	7	Animation,Short
tt0153418	video	Uncle Jamie's Double Trouble	Uncle Jamie's Double Trouble	1	1992	\N	45	Adult
tt0154545	short	Gran Premio de España de Fórmula 1	Gran Premio de España de Fórmula 1	0	1968	\N	18	Documentary,Short,Sport
tt0155189	short	Sold Out	Sold Out	0	1916	\N	\N	Drama,Short
tt0157291	short	Adria Urlaubsfilme 1954-68 (Die Schule des Sehens I)	Adria Urlaubsfilme 1954-68 (Die Schule des Sehens I)	0	1990	\N	35	Short
tt0158601	movie	The Greeneyed Elephant	Elefanter på loftet	0	1960	\N	76	Comedy,Fantasy
tt0159535	tvMovie	Hardly a Butterfly	Liian paksu perhoseksi	0	1998	\N	85	Comedy,Drama,History
tt0160440	movie	Crazed Fruit	Kurutta kajitsu	0	1956	\N	86	Drama,Romance
tt0162689	tvEpisode	Sein letzter Wille	Sein letzter Wille	0	1988	\N	90	Crime,Drama,Mystery
tt0167882	short	The Assassination of Matteotti	Il delitto Matteotti	0	1956	\N	11	Documentary,Short
tt0168056	movie	The Man Who Drove with Mandela	The Man Who Drove with Mandela	0	1998	\N	82	Biography,Documentary,History
tt0171350	short	Gostivar, vcera i denes	Gostivar, vcera i denes	0	1984	\N	31	Documentary,Short
tt0172644	short	Kapiel	Kapiel	0	1966	\N	\N	Short
tt0173156	movie	Saajan Ka Ghar	Saajan Ka Ghar	0	1994	\N	153	Drama
tt0175542	short	Csapj az asztalra!	Csapj az asztalra!	0	1953	\N	\N	Short
tt0176753	movie	Heroes Without Glory	I giardini del diavolo	0	1971	\N	92	Drama,War
tt0178467	video	Foxes	Foxes	1	1992	\N	\N	Adult
tt0179003	movie	L'île d'amour	L'île d'amour	0	1944	\N	106	Drama,Romance
tt0179070	movie	All the King's Horses	All the King's Horses	0	1977	\N	80	Drama
tt0182719	tvMovie	Annie Get Your Gun	Annie Get Your Gun	0	1957	\N	106	Musical,Western
tt0186933	tvMiniSeries	Crocodile Shoes II	Crocodile Shoes II	0	1996	\N	\N	Drama
tt0189614	tvSeries	Invention	Invention	0	1990	\N	\N	Documentary
tt0199584	tvMovie	Harm's Way	Harm's Way	0	1998	\N	47	Documentary,Drama
tt0200978	movie	Proêzas de Satanás na Vila de Leva-e-Traz	Proêzas de Satanás na Vila de Leva-e-Traz	0	1967	\N	100	Comedy
tt0201489	movie	Kaizokuban Bootleg Film	Kaizokuban Bootleg Film	0	1999	\N	74	Comedy,Crime,Drama
tt0202581	movie	Diamonds of the Andes	Sekido o kakeru otoko	0	1968	\N	103	Action,Crime
tt0207147	movie	Taschendiebe	Taschendiebe	0	1921	\N	\N	\N
tt0214463	tvMovie	All Day on the Sands	All Day on the Sands	0	1979	\N	65	Drama
tt0217355	movie	Dancing at the Blue Iguana	Dancing at the Blue Iguana	0	2000	\N	123	Drama,Mystery
tt0223171	short	Drylanders Episode 4	Drylanders Episode 4	0	1974	\N	21	Drama,Short
tt0228992	movie	An Outgoing Woman	Une femme d'extérieur	0	2000	\N	118	Drama
tt0239094	movie	Kingdom of the Vampire	Kingdom of the Vampire	0	1991	\N	70	Horror
tt0244550	short	Instant Orgy	Instant Orgy	0	1967	\N	5	Short
tt0258073	movie	Ragile Jwala	Ragile Jwala	0	1981	\N	\N	\N
tt0260149	tvMovie	Lulu	Lulu	0	1985	\N	\N	Crime,Drama,Music
tt0262082	movie	Udabno	Udabno	0	1932	\N	70	Action,Drama
tt0268262	video	Dirty Little Sex Brats 4	Dirty Little Sex Brats 4	1	1999	\N	120	Adult
