tconst	directors	writers
tt0000912	nm0000428	nm0853193
tt0013001	nm0279404	nm0279404
tt0016344	nm0003226	nm0793684
tt0017504	nm0569645	\N
tt0024996	nm0090007	nm0306731,nm0881148,nm0489679
tt0029553	nm0681635	nm0119378,nm0434835
tt0030476	nm0746740	nm0070361,nm0498738,nm0727411
tt0035860	nm0908831	nm0240417,nm0400568
tt0037142	nm0627864	nm0617202
tt0037819	nm0743102	nm0001120,nm0290000,nm0536139,nm0700110,nm0953790
tt0038874	nm0139878	nm0355963
tt0042171	nm1096414,nm1094579	nm0293186,nm0364777,nm1680435
tt0043124	nm0289297	nm0119378
tt0043718	nm0389219	nm0278930,nm0623880,nm0771176
tt0047851	nm0552871	nm0345102,nm0552871,nm0850996
tt0051822	nm0295901	nm0828436,nm0252554,nm0307528
tt0059883	nm0275269,nm0290050	nm0275269,nm0290050,nm0536238
tt0060897	nm0447944	nm0169540
tt0067065	nm0852279	nm0214989,nm0099541
tt0069752	nm0351566	nm0351566,nm0947987
tt0075054	nm0316375	nm0078154,nm0316375
tt0078765	nm0724927	nm0169540,nm0724927
tt0083464	nm0382779,nm0046172	nm0492626,nm0492954,nm2631812,nm0137547,nm0888538
tt0083829	nm0252834	\N
tt0084219	nm0052792	nm0052792,nm0799442
tt0084769	nm0341001	nm0509015,nm0943278
tt0094045	nm0662717	\N
tt0098516	nm0496673	nm0486599,nm0496673
tt0098901	nm0379775,nm0391502	nm0379775,nm0391502
tt0100152	nm0055988	nm0104335,nm0274905
tt0101806	nm0341001	nm0013048,nm0341001,nm0414530
tt0106802	nm0237253	\N
tt0108382	nm0254402	\N
tt0118989	nm0421528	nm0861612,nm0183281,nm0702804
tt0122147	nm0510969,nm0910945	nm15630790
tt0123134	nm0549061	nm0549061,nm0753868
tt0128154	nm0040252	nm0040252
tt0130658	nm0379849	nm0670056
tt0150825	nm0711197	nm0287888,nm0458783,nm9779408,nm0821434,nm0856056
tt0153418	\N	\N
tt0154545	nm0836877	\N
tt0155189	nm0360617	nm0940425
tt0157291	nm0222077	\N
tt0158601	nm0347708,nm0684335	nm0347708,nm0684335
tt0159535	nm0477870	nm0406935,nm0411573
tt0160440	nm0620008	nm0410982
tt0162689	nm0341001	nm0344509,nm0399560
tt0167882	nm0728279	nm0076522,nm1457655
tt0168056	nm0771652	nm0315354
tt0171350	nm0304752	\N
tt0172644	nm0473170	\N
tt0173156	nm2381428	nm1104579
tt0175542	nm0843948	nm0126764,nm0445615
tt0176753	nm0729866	nm0089009,nm0199137,nm1703735
tt0178467	nm0000465	nm2041514
tt0179003	nm0131051	nm0264033,nm0686177,nm0756757
tt0179070	nm0860078	nm0234893,nm0860078
tt0182719	nm0232401	nm0276227,nm0276252
tt0186933	nm0051471,nm0852019,nm0724047	nm0619700,nm0574914
tt0189614	\N	\N
tt0199584	nm0557138	nm0557138,nm1038162
tt0200978	nm0811689	nm0811689
tt0201489	nm0462029	nm0462029
tt0202581	nm0756828	nm0756481,nm0756828
tt0207147	nm0433218	nm0375350,nm1746331
tt0214463	nm0287821	nm0003141
tt0217355	nm0705535	nm0705535,nm0513197
tt0223171	nm0354793	nm0169569
tt0228992	nm0086920	nm0086920,nm0092006,nm0213476
tt0239094	nm0006931	nm0006931,nm0909770
tt0244550	nm0537069	\N
tt0258073	nm0706484	nm0766463
tt0260149	\N	nm0007043,nm0917149
tt0262082	nm0762786	nm0762786,nm0837816
tt0268262	\N	\N
tt0268446	nm0792630	nm1282695,nm0792630,nm2353018
tt0273349	nm0486010,nm0490594,nm0490838	nm0485712
tt0287851	\N	\N
tt0297483	nm0627292	nm0094558,nm0769121
tt0299531	\N	\N
tt0302835	nm0754792	nm0754792
tt0306770	nm0000853	nm0000853,nm0096584,nm1207558
tt0308720	nm0699536	nm0026153,nm0699535,nm0699536
tt0308746	nm0483943	\N
tt0310206	nm0536827	nm0187912
