tconst	parentTconst	seasonNumber	episodeNumber
tt0084769	tt0806910	1	140
tt0162689	tt0806910	1	203
tt0394320	tt0096542	2	18
tt0465362	tt0388656	\N	\N
tt0504908	tt0285351	3	16
tt0508661	tt0285333	2	5
tt0514304	tt0078562	2	19
tt0516525	tt0111883	2	2
tt0517481	tt0111887	4	11
tt0523730	tt0103363	\N	\N
tt0530202	tt0319960	1	3
tt0533602	tt0426657	1	11
tt0539512	tt0069572	1	5
tt0548520	tt0138228	52	23
tt0551485	tt0247134	1	15
tt0555498	tt0058796	1	8769
tt0556591	tt0044259	9	25
tt0560762	tt0224861	2	24
tt0566921	tt0086702	1	13
tt0568966	tt0088512	1	2785
tt0569918	tt0376391	1	4
tt0570159	tt0379623	1	98
tt0580059	tt0217205	6	10
tt0586721	tt0056758	1	10157
tt0588408	tt0434655	1	1
tt0592324	tt0281447	4	11
tt0595246	tt0443303	1	4
tt0599452	tt0480610	1	10
tt0603557	tt0101120	8	27
tt0614824	tt0072519	9	5
tt0615344	tt0392974	1	7
tt0615837	tt0320037	4	39
tt0616373	tt0296361	\N	\N
tt0622170	tt0056768	2	6
tt0625878	tt0305056	\N	\N
tt0631504	tt0423688	1	1
tt0631931	tt0047750	4	10
tt0634380	tt0373558	\N	\N
tt0638352	tt0068098	3	13
tt0648569	tt0075537	1	10
tt0654277	tt0391668	1	23
tt0660225	tt0112095	1	3
tt0661108	tt0125634	7	2
tt0664364	tt0161179	3	3
tt0668105	tt0290367	1	24
tt0674494	tt0040049	1	40
tt0688184	tt0411022	2	10
tt0691418	tt0058844	3	11
tt0693895	tt0477534	\N	\N
tt0698358	tt0362372	2	28
tt0700249	tt0108925	2	7
tt0700650	tt0101198	3	18
tt0705732	tt0466420	\N	\N
tt0708994	tt0112178	5	9
tt0714856	tt0374257	2	9
tt0718170	tt0403813	1	33
tt0728547	tt0103569	10	84
tt0731010	tt0139803	28	29
tt0731309	tt0139803	34	37
tt0733881	tt0159187	3	13
tt0737607	tt0094574	\N	\N
tt0743886	tt0353113	2	3
tt0744537	tt0112220	2	16
tt0745256	tt0471048	1	8
tt0747141	tt0252096	1	9
tt0760851	tt0419344	3	1
tt0767705	tt0181260	35	17
tt0770311	tt0163461	2	2
tt0771394	tt0450907	2	16
tt0781949	tt0780421	\N	\N
tt0797713	tt0130422	1	8
tt0803457	tt0275822	5	26
tt0807661	tt0804410	\N	\N
tt0821733	tt0045447	2	7
tt0825957	tt0101177	10	8
tt0831170	tt0353070	1	29
tt0836847	tt0084987	22	78
tt0837966	tt0182576	5	2
tt0839174	tt0413583	1	3
tt0844271	tt0149541	\N	\N
tt0849861	tt0061240	3	25
tt0854560	tt0312172	5	9
