tconst	ordering	nconst	category	job	characters
tt0000912	1	nm0601698	actor	\N	"[""Blue Cloud""]"
tt0000912	2	nm0288616	actor	\N	"[""The Old Prospector""]"
tt0000912	3	nm0681933	actress	\N	"[""Blue Cloud's Wife""]"
tt0000912	4	nm0424530	actor	\N	"[""Cowboy""]"
tt0000912	5	nm0456804	actor	\N	"[""Cowboy""]"
tt0000912	6	nm0456804	actor	\N	"[""Dying Man""]"
tt0000912	7	nm0502701	actress	\N	\N
tt0000912	8	nm0642722	actor	\N	"[""At Stable""]"
tt0000912	9	nm0681931	actress	\N	"[""Indian""]"
tt0000912	10	nm0784407	actor	\N	"[""Indian""]"
tt0000912	11	nm0000428	director	\N	\N
tt0000912	12	nm0853193	writer	writer	\N
tt0000912	13	nm0005658	cinematographer	\N	\N
tt0013001	1	nm0279404	director	\N	\N
tt0013001	2	nm0279404	writer	comic strip Mutt and Jeff	\N
tt0016344	1	nm0645409	actress	\N	"[""Oyoshi""]"
tt0016344	2	nm0847050	actor	\N	"[""Senta""]"
tt0016344	3	nm0464890	actor	\N	"[""Keikichi""]"
tt0016344	4	nm0586664	actor	\N	\N
tt0016344	5	nm0945427	actor	\N	\N
tt0016344	6	nm0395964	actor	\N	\N
tt0016344	7	nm0003226	director	\N	\N
tt0016344	8	nm0793684	writer	\N	\N
tt0016344	9	nm0948405	cinematographer	\N	\N
tt0017504	1	nm0398299	actor	\N	"[""'Happened-Along' Meredith - aka Texas Ranger Captain Halliday""]"
tt0017504	2	nm0026526	actress	\N	"[""Doris Davenport""]"
tt0017504	3	nm0185799	actress	\N	"[""Laura Stribling""]"
tt0017504	4	nm0466773	actor	\N	"[""'Bingo' Strook""]"
tt0017504	5	nm0038884	actor	\N	"[""'Doughnut' Casey""]"
tt0017504	6	nm0318393	actor	\N	"[""First Davenport Boy""]"
tt0017504	7	nm0318394	actor	\N	"[""Second Davenport Boy""]"
tt0017504	8	nm0942611	actor	\N	"[""Henchman""]"
tt0017504	9	nm0569645	director	\N	\N
tt0017504	10	nm0772106	producer	producer	\N
tt0024996	1	nm0214168	actress	\N	"[""Joyce 'Joy' Stanhope""]"
tt0024996	2	nm0713270	actor	\N	"[""Chris Hansen""]"
tt0024996	3	nm0804375	actress	\N	"[""Miss Gertrude Vanderdoe""]"
tt0024996	4	nm0115558	actor	\N	"[""Troon""]"
tt0024996	5	nm0337894	actor	\N	"[""Harry Gold""]"
tt0024996	6	nm0256298	actor	\N	"[""Herbert Emerson Stanhope""]"
tt0024996	7	nm0309641	actress	\N	"[""Mrs. Ada Stanhope""]"
tt0024996	8	nm0872165	actor	\N	"[""Jimmy Wolverton""]"
tt0024996	9	nm0707771	actress	\N	"[""Nora""]"
tt0024996	10	nm0210536	actress	\N	"[""Louise""]"
tt0024996	11	nm0090007	director	\N	\N
tt0024996	12	nm0306731	writer	story	\N
tt0024996	13	nm0881148	writer	story	\N
tt0024996	14	nm0489679	writer	screenplay	\N
tt0024996	15	nm0489690	producer	producer	\N
tt0024996	16	nm0005870	cinematographer	\N	\N
tt0029553	1	nm0003895	actor	\N	"[""Ahmed Ben Nesib""]"
tt0029553	2	nm0485439	actress	\N	"[""Phyllis 'Flip' Murdock""]"
tt0029553	3	nm0516876	actor	\N	"[""Samuel P. Murdock""]"
tt0029553	4	nm0121753	actress	\N	"[""Gloria Parker""]"
tt0029553	5	nm0276354	actor	\N	"[""Abu Saal""]"
tt0029553	6	nm0079645	actor	\N	"[""Munson""]"
tt0029553	7	nm0871562	actress	\N	"[""Polly Parker""]"
tt0029553	8	nm0178509	actor	\N	"[""Lord Eustace Byington""]"
tt0029553	9	nm0455893	actor	\N	"[""Allusi Ali""]"
tt0029553	10	nm0719292	actor	\N	"[""Count Mario""]"
tt0029553	11	nm0681635	director	\N	\N
tt0029553	12	nm0119378	writer	original screenplay	\N
tt0029553	13	nm0434835	writer	original screenplay	\N
tt0029553	14	nm0005785	cinematographer	\N	\N
tt0029553	15	nm0632393	editor	\N	\N
tt0029553	16	nm0783018	editor	\N	\N
tt0030476	1	nm0070361	actor	\N	"[""Robert Benchley""]"
tt0030476	2	nm0746740	director	\N	\N
tt0035860	1	nm0002092	actor	\N	"[""John McKittrick""]"
tt0035860	2	nm0000058	actress	\N	"[""Toni Donne""]"
tt0035860	3	nm0805790	actor	\N	"[""Dr. Christian Skaas""]"
tt0035860	4	nm0605685	actress	\N	"[""Barby Taviton""]"
tt0035860	5	nm0640930	actress	\N	"[""Whitney Parker""]"
tt0035860	6	nm0249847	actor	\N	"[""Ab Parker""]"
tt0035860	7	nm0052308	actor	\N	"[""Anton""]"
tt0035860	8	nm0587534	actor	\N	"[""Inspector Tobin""]"
tt0035860	9	nm0064604	actor	\N	"[""Otto Skaas""]"
tt0035860	10	nm0013306	actor	\N	"[""Nightclub Patron""]"
tt0035860	11	nm0908831	director	\N	\N
tt0035860	12	nm0240417	writer	screen play by	\N
tt0035860	13	nm0400568	writer	"based on the novel ""The Fallen Sparrow"" by"	\N
