tconst	averageRating	numVotes
tt0000912	4.3	73
tt0017504	4.8	27
tt0024996	5.9	66
tt0029553	6.0	45
tt0030476	6.2	81
tt0035860	6.6	2010
tt0037142	5.7	189
tt0038874	6.6	46
tt0042171	8.5	784
tt0043124	6.0	35
tt0043718	6.3	19
tt0047851	5.8	28
tt0051822	4.6	50
tt0059883	6.1	130
tt0060897	5.5	4931
tt0067065	6.3	41883
tt0069752	7.2	921
tt0075054	6.4	30
tt0078765	5.4	441
tt0083464	6.9	346
tt0084769	5.3	29
tt0094045	6.9	31
tt0098516	6.6	31
tt0098901	7.1	377
tt0100152	5.2	2993
tt0108382	8.8	59
tt0118989	7.6	258
tt0123134	7.8	87
tt0128154	7.7	20
tt0150825	5.3	17
tt0157291	7.4	11
tt0158601	3.6	58
tt0159535	6.5	349
tt0160440	7.2	2286
tt0162689	6.6	24
tt0167882	6.4	8
tt0168056	6.9	31
tt0173156	4.3	182
tt0176753	4.1	75
tt0179003	6.3	30
tt0179070	4.5	68
tt0182719	7.5	118
tt0186933	6.9	99
tt0200978	7.5	64
tt0201489	5.4	135
tt0202581	5.7	8
tt0214463	7.4	26
tt0217355	5.7	4182
tt0228992	6.1	149
tt0239094	4.3	147
tt0244550	5.7	26
tt0268446	8.2	63
tt0273349	7.5	72
tt0302835	6.4	8
tt0308720	7.5	15
tt0310206	3.2	6
tt0318498	3.8	203
tt0326988	7.3	93
tt0337857	6.2	171
tt0344951	4.8	100
tt0345326	5.2	202
tt0345498	5.7	9
tt0347010	4.6	10
tt0349688	6.4	188
tt0354836	6.4	4456
tt0371002	6.8	7
tt0384125	6.0	6
tt0394320	6.1	193
tt0395124	5.1	14
tt0395985	6.7	8
tt0424715	7.1	20
tt0430891	7.5	14
tt0439293	6.5	71
tt0442870	7.0	257
tt0446789	7.4	35
tt0456268	6.1	17
tt0463992	6.1	24
tt0469695	6.3	233
tt0472465	4.1	1390
tt0475535	7.9	45
tt0481069	8.0	90
tt0487216	8.1	26
tt0504908	6.5	161
tt0508661	7.6	517
tt0514304	7.2	37
tt0517481	8.0	31
tt0530202	7.6	54
tt0556591	8.6	17
tt0566921	7.5	19
tt0580059	7.5	15
tt0603557	7.9	290
tt0614824	6.8	71
tt0622170	7.3	50
