nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm7644510	Valentin Malaescu	\N	\N	actor	tt5072918
nm4867615	Christopher Heimann	\N	\N	miscellaneous	tt2198043
nm0912420	Natalie Denise Sperl	\N	\N	actress,director,producer	tt10618286,tt10750482,tt12200650,tt0369179
nm6994121	Amie Stephens	\N	\N	art_department	tt1957938,tt2945374
nm0171239	Tom Coleman	1907	1978	art_department,production_designer,set_decorator	tt0051221,tt0047879,tt0055992,tt0050000
nm0521405	Michael Losurdo Jr.	\N	\N	editor,production_manager	tt0112225,tt0439799
nm8921628	Deion John	\N	\N	actor	tt16297126,tt5639892,tt15450344,tt7685958
nm7124986	Vikram Chadha	\N	\N	visual_effects	tt4547056,tt10451914,tt4986098,tt14114802
nm13256208	Jacqueline Mazeas	\N	\N	\N	tt0221719
nm2194567	Kengi Guerrero	\N	\N	actor	tt8289480,tt0410631
nm4268955	Rachel Randazzo	\N	\N	actress	tt1819527
nm1227944	Gye-hyeon Kim	\N	\N	actor	tt0328811
nm2823747	Evangelia Andrikou	\N	\N	script_department,director,actress	tt1914275,tt1298177,tt0490675,tt1117554
nm8235480	James Brook	\N	\N	camera_department	\N
nm1343157	Raimundo Oliveira	\N	\N	actor	tt0193077
nm2659181	Jonathan Lane	\N	\N	actor	tt4633690,tt0758734,tt5761496,tt1100951
nm2590773	Angela Seraline	\N	\N	costume_department	tt0830507
nm7185035	Elmer Frihdson Ona	\N	\N	animation_department	tt4518352
nm8537886	Mrs. Ralph Robson	\N	\N	\N	\N
nm4280004	David Paredes	\N	\N	art_department	tt13603966,tt1654523,tt0120626,tt2800356
nm9175592	Adam Behr	\N	\N	actor	tt7211546
nm9679680	Wesley Good	\N	\N	\N	tt8105862
nm0608938	Dalan Hoyt Moss	\N	\N	camera_department,special_effects,miscellaneous	tt0439482,tt2854222,tt0762072,tt0274661
nm4737460	Santi Pérez	\N	\N	\N	tt1507012
nm8717528	Cédric Chasle	\N	\N	actor,writer,set_decorator	tt6436120,tt7953048
nm2074149	Susann Goksør Bjerkrheim	\N	\N	actress,archive_footage	tt15372312,tt0485445,tt5495222,tt2011967
nm11552100	Katie Hunt	\N	\N	\N	tt10902108,tt2272112,tt1827882,tt9268798
nm8177215	Nathalie Rolland	\N	\N	producer	tt5763434
nm5171726	Daniel Castillo	\N	\N	actor	tt2215211
nm16042156	Xinyi Mo	\N	\N	camera_department,cinematographer,producer	tt33055765,tt32277307,tt29118575
nm7400874	Fernando Pedro	\N	\N	\N	tt0181215,tt0391590,tt4785322,tt15850586
nm5180929	Kam-Keung Chan	\N	\N	director,miscellaneous	tt10619724,tt2296106
nm3173606	Frank Brady	\N	\N	camera_department	tt1677690
nm13101331	Constance Parra	\N	\N	actress,writer	tt15881242,tt33037857
nm0469172	Krafft-Raschig	1895	\N	actor	tt0018737,tt0021818,tt0160807,tt0446056
nm1871027	D. Bradley Taylor	\N	\N	art_department	tt0205271
nm2493771	Norbert Hähnel	\N	\N	actor,archive_footage	tt0296533,tt0269338,tt4291066,tt8814806
nm5644904	Bill Bergmann	\N	\N	visual_effects	tt1430587,tt1054478
nm10754763	Lans Lister	\N	\N	\N	tt10462632
nm14099600	Goraksh	\N	\N	actor	tt13131350
nm6061287	Jessica Richey	\N	\N	actress	tt3176880,tt5627502
nm4181630	Giannavi Pappalardo	\N	\N	actor	tt1776885
nm7454342	Guillermo Camblor	\N	\N	writer	tt4855896,tt0281478
nm3651630	Salzburger Kammerphilharmonie	\N	\N	music_department	tt0407267
nm5420580	Bishal Sapkota	\N	\N	director,actor,writer	tt10935014,tt2575092,tt17225886,tt15141644
nm13759115	Alan Aardvark	\N	\N	\N	\N
